Distance,Depth,15/06/2015 16:35,15/06/2015 16:37,15/06/2015 16:39,15/06/2015 16:41,15/06/2015 16:43,15/06/2015 16:45,15/06/2015 16:47,15/06/2015 16:49,15/06/2015 16:52,15/06/2015 16:54,15/06/2015 16:56,15/06/2015 16:58,15/06/2015 17:00,15/06/2015 17:02,15/06/2015 17:04,15/06/2015 17:06,15/06/2015 17:08,15/06/2015 17:10,15/06/2015 17:12,15/06/2015 17:14,15/06/2015 17:16,15/06/2015 17:18,15/06/2015 17:20,15/06/2015 17:23,15/06/2015 17:25,15/06/2015 17:27,15/06/2015 17:29
62.899,0.327611465,13.645,13.618,13.586,13.477,13.596,13.559,13.47,13.668,13.721,13.705,13.641,13.631,13.685,13.696,13.635,13.706,13.59,13.56,13.703,13.541,13.585,13.563,13.57,13.67,13.663,13.613,13.668
63.153,0.331656051,13.573,13.575,13.481,13.486,13.57,13.689,13.537,13.638,13.668,13.675,13.712,13.68,13.58,13.603,13.537,13.657,13.652,13.609,13.754,13.521,13.567,13.598,13.616,13.708,13.61,13.513,13.671
63.407,0.335700637,13.433,13.515,13.45,13.46,13.651,13.687,13.573,13.503,13.529,13.534,13.666,13.679,13.63,13.479,13.465,13.59,13.611,13.585,13.588,13.575,13.593,13.595,13.579,13.593,13.624,13.392,13.66
63.661,0.339745223,13.375,13.512,13.432,13.589,13.667,13.555,13.591,13.623,13.511,13.479,13.581,13.544,13.622,13.555,13.592,13.615,13.637,13.54,13.591,13.769,13.744,13.635,13.603,13.467,13.631,13.525,13.68
63.915,0.343789809,13.483,13.485,13.481,13.714,13.62,13.515,13.532,13.531,13.328,13.501,13.625,13.513,13.619,13.577,13.721,13.654,13.61,13.529,13.636,13.645,13.616,13.725,13.584,13.44,13.649,13.524,13.548
64.169,0.347834395,13.57,13.433,13.546,13.646,13.536,13.583,13.392,13.503,13.442,13.55,13.574,13.647,13.568,13.534,13.57,13.58,13.518,13.574,13.661,13.502,13.485,13.669,13.459,13.399,13.539,13.54,13.405
64.423,0.351878981,13.506,13.491,13.56,13.493,13.53,13.405,13.366,13.528,13.407,13.503,13.591,13.633,13.604,13.429,13.403,13.528,13.552,13.422,13.631,13.398,13.413,13.564,13.533,13.344,13.479,13.536,13.45
64.677,0.355923567,13.489,13.623,13.572,13.406,13.511,13.376,13.391,13.45,13.392,13.481,13.655,13.636,13.587,13.37,13.483,13.541,13.507,13.486,13.521,13.414,13.467,13.535,13.465,13.488,13.489,13.411,13.466
64.931,0.359968153,13.529,13.557,13.408,13.426,13.505,13.38,13.301,13.442,13.388,13.49,13.599,13.62,13.595,13.373,13.514,13.498,13.456,13.5,13.524,13.49,13.488,13.51,13.435,13.556,13.455,13.456,13.45
65.185,0.364012739,13.447,13.418,13.384,13.44,13.367,13.425,13.4,13.396,13.366,13.462,13.496,13.537,13.612,13.474,13.488,13.487,13.366,13.382,13.562,13.513,13.442,13.522,13.608,13.507,13.454,13.413,13.498
65.439,0.368057325,13.403,13.269,13.387,13.376,13.35,13.465,13.483,13.401,13.375,13.424,13.437,13.461,13.544,13.404,13.56,13.506,13.327,13.365,13.418,13.497,13.409,13.433,13.593,13.391,13.476,13.295,13.541
65.693,0.372101911,13.361,13.281,13.328,13.326,13.399,13.278,13.39,13.454,13.302,13.296,13.459,13.465,13.485,13.415,13.485,13.388,13.396,13.317,13.264,13.47,13.429,13.481,13.419,13.268,13.501,13.391,13.567
65.947,0.376146497,13.348,13.323,13.382,13.373,13.342,13.333,13.296,13.403,13.328,13.238,13.428,13.403,13.455,13.405,13.445,13.285,13.51,13.335,13.317,13.375,13.427,13.494,13.342,13.238,13.508,13.36,13.538
66.201,0.380191083,13.487,13.339,13.428,13.377,13.43,13.4,13.215,13.498,13.366,13.353,13.517,13.45,13.457,13.334,13.407,13.406,13.508,13.361,13.493,13.304,13.464,13.483,13.371,13.329,13.349,13.409,13.418
66.455,0.384235669,13.425,13.325,13.5,13.247,13.401,13.361,13.297,13.476,13.293,13.32,13.551,13.398,13.431,13.389,13.246,13.468,13.357,13.389,13.49,13.36,13.438,13.478,13.33,13.467,13.313,13.56,13.255
66.709,0.388280255,13.35,13.246,13.443,13.204,13.243,13.24,13.346,13.347,13.3,13.392,13.42,13.343,13.323,13.33,13.266,13.416,13.289,13.295,13.471,13.441,13.325,13.466,13.303,13.391,13.383,13.476,13.32
66.963,0.392324841,13.316,13.224,13.325,13.257,13.205,13.052,13.281,13.207,13.243,13.38,13.29,13.304,13.313,13.308,13.357,13.393,13.321,13.222,13.43,13.385,13.277,13.398,13.357,13.248,13.318,13.339,13.367
67.217,0.396369427,13.336,13.252,13.386,13.284,13.145,13.132,13.238,13.164,13.258,13.312,13.274,13.322,13.233,13.302,13.309,13.298,13.38,13.296,13.353,13.296,13.265,13.283,13.432,13.375,13.381,13.269,13.365
67.471,0.400414013,13.243,13.265,13.328,13.294,13.188,13.178,13.233,13.133,13.278,13.345,13.293,13.346,13.207,13.226,13.286,13.35,13.258,13.356,13.309,13.228,13.191,13.249,13.376,13.378,13.233,13.337,13.229
